nome,ordem,ativo,descricao
Analista,1,true,"Servidor responsável pela execução direta das atividades especializadas do processo"
Coordenador-Geral,2,true,"Gestor de coordenação-geral responsável pela supervisão estratégica e aprovações de nível superior"
Coordenador,3,true,"Gestor de coordenação responsável pela supervisão tática e gestão de equipes"
Apoio-gabinete,4,true,"Servidor de apoio administrativo vinculado ao gabinete da diretoria"
Líder de equipe,5,true,"Servidor responsável pela condução operacional da equipe"
Secretária,6,true,"Servidor(a) de apoio administrativo e suporte à gestão"
Colaborador (terceirizado),7,true,"Profissional terceirizado que atua na execução da atividade"
Outros (especificar),8,true,"Outros operadores não listados - permite especificação manual"
